"cow_id","site","calving_date","date_sampled","dim","days_storage","three_contam","contamination"
1264,"D",2019-09-30,2019-10-03,3,11,0,1
1264,"D",2019-09-30,2019-10-08,8,6,0,0
1264,"D",2019-09-30,2019-10-15,15,37,0,0
1264,"D",2019-09-30,2019-10-22,22,30,0,0
1270,"D",2019-09-28,2019-10-03,5,11,0,1
1270,"D",2019-09-28,2019-10-08,10,6,0,0
1270,"D",2019-09-28,2019-10-15,17,37,0,1
1274,"D",2019-08-25,2019-08-27,2,21,0,0
1274,"D",2019-08-25,2019-09-03,9,14,0,0
1274,"D",2019-08-25,2019-09-10,16,7,0,0
1274,"D",2019-08-25,2019-09-17,23,27,0,0
1276,"D",2019-09-28,2019-10-03,5,11,0,1
1276,"D",2019-09-28,2019-10-08,10,6,0,0
1276,"D",2019-09-28,2019-10-15,17,37,0,0
1276,"D",2019-09-28,2019-10-22,24,30,0,0
1278,"D",2019-08-20,2019-08-27,7,21,0,0
1278,"D",2019-08-20,2019-09-03,14,14,0,0
1278,"D",2019-08-20,2019-09-10,21,7,0,0
1278,"D",2019-08-20,2019-09-17,28,27,0,0
1279,"D",2019-08-18,2019-08-20,2,28,0,0
1279,"D",2019-08-18,2019-08-27,9,21,0,1
1279,"D",2019-08-18,2019-09-03,16,14,0,0
1279,"D",2019-08-18,2019-09-10,23,7,0,0
1280,"D",2019-09-11,2019-09-17,6,27,0,1
1280,"D",2019-09-11,2019-09-24,13,20,0,0
1280,"D",2019-09-11,2019-10-03,22,11,0,1
1281,"D",2019-08-10,2019-08-13,3,35,0,0
1281,"D",2019-08-10,2019-08-20,10,28,0,0
1281,"D",2019-08-10,2019-08-27,17,21,0,0
1281,"D",2019-08-10,2019-09-03,24,14,0,0
1282,"D",2019-08-31,2019-09-03,3,14,0,0
1282,"D",2019-08-31,2019-09-10,10,7,0,0
1282,"D",2019-08-31,2019-09-17,17,27,0,0
1282,"D",2019-08-31,2019-09-24,24,20,0,0
1283,"D",2019-09-28,2019-10-03,5,11,0,1
1283,"D",2019-09-28,2019-10-08,10,6,0,1
1283,"D",2019-09-28,2019-10-15,17,37,0,0
1283,"D",2019-09-28,2019-10-22,24,30,0,0
1284,"D",2019-10-11,2019-10-15,4,37,0,0
1284,"D",2019-10-11,2019-10-22,11,30,0,0
1284,"D",2019-10-11,2019-10-29,18,23,0,0
1284,"D",2019-10-11,2019-11-05,25,16,0,0
1285,"D",2019-09-25,2019-10-03,8,11,0,1
1285,"D",2019-09-25,2019-10-08,13,6,0,1
1285,"D",2019-09-25,2019-10-15,20,37,0,0
