"cow_id","date_sampled","site","result","quarter_sampled","date_result","imi","calving_date","dim","days_storage","any_quarter_contam","three_contam"
1264,2019-10-03,"D","Contaminated","RF",2020-07-08,"0",2019-09-30,3,279,TRUE,0
1264,2019-10-03,"D","No Growth","LF",2020-07-08,"0",2019-09-30,3,279,TRUE,0
1264,2019-10-03,"D","Contaminated","LR",2020-07-08,"0",2019-09-30,3,279,TRUE,0
1264,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","RR",2020-07-08,"1",2019-09-30,3,279,TRUE,0
1264,2019-10-03,"D","Aerococcus viridans","RR",2020-07-08,"1",2019-09-30,3,279,TRUE,0
1270,2019-10-03,"D","Contaminated","LF",2020-07-08,"0",2019-09-28,5,279,TRUE,0
1270,2019-10-03,"D","Staphylococcus chromogenes","RF",2020-07-08,"1",2019-09-28,5,279,TRUE,0
1270,2019-10-03,"D","Contaminated","RR",2020-07-08,"0",2019-09-28,5,279,TRUE,0
1270,2019-10-03,"D","Aerococcus sp.","RF",2020-07-08,"1",2019-09-28,5,279,TRUE,0
1270,2019-10-03,"D","Contaminated","LR",2020-07-08,"0",2019-09-28,5,279,TRUE,0
1270,2019-10-15,"D","No Growth","RR",2020-07-22,"0",2019-09-28,17,281,FALSE,0
1270,2019-10-15,"D","No Growth","LF",2020-07-22,"0",2019-09-28,17,281,FALSE,0
1270,2019-10-15,"D","Staphylococcus chromogenes","LR",2020-07-22,"1",2019-09-28,17,281,FALSE,0
1270,2019-10-15,"D","Staphylococcus chromogenes","RF",2020-07-22,"1",2019-09-28,17,281,FALSE,0
1276,2019-10-03,"D","Aerococcus viridans","RR",2020-07-08,"1",2019-09-28,5,279,TRUE,0
1276,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","RF",2020-07-08,"1",2019-09-28,5,279,TRUE,0
1276,2019-10-03,"D","Contaminated","LF",2020-07-08,"0",2019-09-28,5,279,TRUE,0
1276,2019-10-03,"D","Aerococcus viridans","LR",2020-07-08,"1",2019-09-28,5,279,TRUE,0
1276,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","RR",2020-07-08,"1",2019-09-28,5,279,TRUE,0
